"geneSymbol","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"ACE",10,1292,2,4,11,8
"ACE2",0,0,1,18,34,1146
"ACER1",2,2,3,1,3,0
"ACER2",22,8,25,13,39,71
"ACER3",513,515,225,376,533,527
"ACHE",184,207,3009,532,134,35
"ACIN1",4720,4518,3411,6279,5225,6704
"ACKR1",64,23,487,49,72,2
"ACKR2",39,2,21,74,90,70
"ACKR3",78,15,37,10,23,5
"ACKR4",12,6,1,5,12,4
"ACLY",1751,1158,1172,2070,4810,2958
"ACMSD",1,4,0,6,2,4
"ACO1",86,129,280,374,841,413
"ACO2",846,820,804,1051,1121,1125
"ACOT1",32,15,28,150,12,68
"ACOT11",31,88,71,43,112,64
"ACOT12",1,0,0,0,3,1
"ACOT13",246,205,218,233,510,403
"ACOT2",244,93,244,415,254,360
"ACOT4",4,26,62,27,124,149
"ACOT6",2,1,3,0,0,4
"ACOT7",128,222,731,401,791,617
"ACOT8",188,233,188,217,467,448
"ACOT9",548,351,167,308,589,386
"ACOX1",757,872,337,545,737,920
"ACOX2",1,3,7,7,8,6
"ACOX3",147,122,62,150,297,364
"ACOXL",2,0,2,1,0,2
"ACP1",2009,1760,2031,2794,1951,956
"ACP2",143,341,223,96,484,393
"ACP5",406,567,115,300,136,38
"ACP6",44,140,50,137,477,330
"ACPP",85,70,25,59,21,54
"ACPT",7,6,27,6,6,15
"ACR",13,79,1,8,5,73
"ACRBP",190,422,135,186,1518,215
"ACRC",41,29,20,17,41,50
"ACRV1",2,0,5,8,15,8
"ACSBG1",72,18,156,32,23,10
"ACSBG2",5,3,6,2,19,15
"ACSF2",318,162,70,116,184,162
"ACSF3",328,372,376,292,640,464
"ACSL1",1268,3444,920,1878,600,1759
"ACSL3",398,370,962,951,657,731
"ACSL4",1263,1758,655,975,1891,662
"ACSL5",872,588,210,766,2950,1319
"ACSL6",178,50,1691,755,93,17
"ACSM1",9,25,21,163,92,3
"ACSM2A",0,0,0,0,0,0
"ACSM2B",0,0,0,0,0,0
